상호명,지번주소
타이반쩜 영등포점,서울 영등포구 대림동 784
정직한돈카츠,서울 중구 신당동 132-14
서라벌 김치찜,서울 마포구 창전동 438
파스타입니다 왕십리점,서울 중구 신당동 52-109
능이네,서울 중구 황학동 613
이화원 중식당,서울 영등포구 대림동 893-58
원조감자탕 일미집 보라매점,서울 동작구 신대방동 395-69
한나식당,서울 중구 황학동 717
홈푸드 스토리,서울 중구 신당동 110-7
어부네코다리 신당점,서울 중구 신당동 247-48
죽도령 신정점,서울 양천구 신정동 1032-10
구내식당,서울 마포구 망원동 57-194
마약낙곱새 관악점,서울 관악구 봉천동 466-13
중림동기내식,서울 중구 중림동 61-4
나주곰탕,서울 중구 중림동 150-1
마라식객,서울 중구 필동2가 65-2
김치만선생,서울 중구 필동2가 97-2
진전복삼계탕 대치점,서울 강남구 대치동 974
떡볶이 참 잘하는집 강남일원점,서울 강남구 일원동 682-7
복대감엔 볓짚구이마을,서울 강남구 일원동 666-9
와이제이컴퍼니,서울 서초구 서초동 1687-2
왕십리곱창,서울 송파구 마천동 143-2
소오,서울 서대문구 대현동 60-5
오엠지OMG 치킨앤샐러드,서울 강남구 대치동 1022-3
온솥 주식회사,서울 강남구 역삼동 724-36
낭만타코,서울 강남구 역삼동 736-58
아침점심저녁 본점,서울 강남구 역삼동 706-17
아침점심저녁 화곡점,서울 강서구 화곡동 347-2
스파게티스토리,서울 강남구 역삼동 752-53
앨리스핫도그,서울 강남구 논현동 108
뭐먹집,서울 강남구 삼성동 8-2
판다비즈,서울 강남구 역삼동 660-25
바로푸드,서울 강남구 역삼동 660-25
곰프레시,서울 강남구 역삼동 660-25
돌판장 주식회사,서울 용산구 한강로2가 2-352
곰푸드,서울 강남구 역삼동 660-25
이선생짜글이 우성사거리점,서울 서초구 서초동 1337-22
찐하오 마라탕,서울 관악구 봉천동 1718
간지떡볶이 돈까스,서울 강남구 삼성동 8-2
묵찜빠강남점,서울 강남구 삼성동 8-2
주식회사 잇그린,서울 강남구 역삼동 624-14
배떡 교대점,서울 서초구 서초동 1639-3
구름계란덮밥 강남점,서울 강남구 논현동 221-7
"동해, 김명자 낙지마당",서울 강남구 개포동 1228-4
그린레시피,서울 강남구 논현동 167-17
정담남원추어탕,서울 서초구 방배동 926-27
신림동본가백순대,서울 관악구 봉천동 970-21
153구포국수 군자점,서울 광진구 군자동 467-3
